rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,ORSOS Richard,HUN,"Born: Feb 07, 2001",B.weight: 60.62,Group: A,1: -90,2: 90,3: 95,Total: 95,62kgMen,Snatch,440
Rank: ---,RALPHO Joshua,MHL,"Born: Dec 26, 2001",B.weight: 61.61,Group: A,1: 75,2: 80,3: -85,Total: 80,62kgMen,Snatch,440
Rank: ---,JEREMY Lalrinnunga,IND,"Born: Oct 26, 2002",B.weight: 61.43,Group: A,1: 142,2: -147,3: 150,Total: 150,62kgMen,CleanJerk,440
Rank: ---,JUMAYEV Reyimbergen,TKM,"Born: Feb 27, 2001",B.weight: 61.96,Group: A,1: 125,2: -128,3: ---,Total: 125,62kgMen,CleanJerk,440
Rank: ---,TREJO GONZALEZ Carlos David,VEN,"Born: Jan 01, 2001",B.weight: 61.78,Group: A,1: 130,2: 140,3: -144,Total: 140,62kgMen,CleanJerk,440
Rank: ---,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Born: Dec 12, 2001",B.weight: 61.21,Group: A,1: 141,2: -145,3: -147,Total: 141,62kgMen,CleanJerk,440
Rank: ---,TOPTAS Caner,TUR,"Born: Aug 14, 2001",B.weight: 61.96,Group: A,1: 135,2: -141,3: 141,Total: 141,62kgMen,CleanJerk,440
Rank: ---,MADANAMOOTHOO Jack Dorian,MRI,"Born: Apr 19, 2001",B.weight: 61.13,Group: A,1: -110,2: 110,3: 116,Total: 116,62kgMen,CleanJerk,440
Rank: ---,LUTAAYA Hamdan Sserwanga,UGA,"Born: Jan 07, 2002",B.weight: 61.08,Group: A,1: 76,2: 80,3: 83,Total: 83,62kgMen,CleanJerk,440
Rank: ---,MOSES Ezekiel,NRU,"Born: Jul 02, 2001",B.weight: 61.97,Group: A,1: 126,2: 130,3: -138,Total: 130,62kgMen,CleanJerk,440
Rank: ---,LULI Antonino,ALB,"Born: Jan 30, 2001",B.weight: 61.70,Group: A,1: 115,2: 120,3: 125,Total: 125,62kgMen,CleanJerk,440
Rank: ---,VILLAR MANJARRES Estiven Jose,COL,"Born: Mar 12, 2001",B.weight: 61.18,Group: A,1: 140,2: 145,3: -149,Total: 145,62kgMen,CleanJerk,440
Rank: ---,GAFFNEY Jett Alexander,AUS,"Born: Dec 02, 2002",B.weight: 61.59,Group: A,1: 106,2: 112,3: -121,Total: 112,62kgMen,CleanJerk,440
Rank: ---,DANCIU Emanuel-Marian,ROU,"Born: Apr 01, 2001",B.weight: 61.81,Group: A,1: 138,2: 143,3: -146,Total: 143,62kgMen,CleanJerk,440
Rank: ---,ORSOS Richard,HUN,"Born: Feb 07, 2001",B.weight: 60.62,Group: A,1: 110,2: -116,3: 116,Total: 116,62kgMen,CleanJerk,440
Rank: ---,RALPHO Joshua,MHL,"Born: Dec 26, 2001",B.weight: 61.61,Group: A,1: -100,2: 103,3: 110,Total: 110,62kgMen,CleanJerk,440
Rank: 1,JEREMY Lalrinnunga,IND,"Born: Oct 26, 2002",B.weight: 61.43,Group: A,Snatch: 124,CI&Jerk: 150,Total: 274,,62kgMen,Total,440
Rank: 2,TOPTAS Caner,TUR,"Born: Aug 14, 2001",B.weight: 61.96,Group: A,Snatch: 122,CI&Jerk: 141,Total: 263,,62kgMen,Total,440
Rank: 3,VILLAR MANJARRES Estiven Jose,COL,"Born: Mar 12, 2001",B.weight: 61.18,Group: A,Snatch: 115,CI&Jerk: 145,Total: 260,,62kgMen,Total,440
Rank: 4,DANCIU Emanuel-Marian,ROU,"Born: Apr 01, 2001",B.weight: 61.81,Group: A,Snatch: 115,CI&Jerk: 143,Total: 258,,62kgMen,Total,440
Rank: 5,TREJO GONZALEZ Carlos David,VEN,"Born: Jan 01, 2001",B.weight: 61.78,Group: A,Snatch: 115,CI&Jerk: 140,Total: 255,,62kgMen,Total,440
Rank: 6,MARTINEZ CASTILLO Ronnier Zaed,PAN,"Born: Dec 12, 2001",B.weight: 61.21,Group: A,Snatch: 114,CI&Jerk: 141,Total: 255,,62kgMen,Total,440
Rank: 7,MOSES Ezekiel,NRU,"Born: Jul 02, 2001",B.weight: 61.97,Group: A,Snatch: 105,CI&Jerk: 130,Total: 235,,62kgMen,Total,440
Rank: 8,JUMAYEV Reyimbergen,TKM,"Born: Feb 27, 2001",B.weight: 61.96,Group: A,Snatch: 109,CI&Jerk: 125,Total: 234,,62kgMen,Total,440
Rank: 9,LULI Antonino,ALB,"Born: Jan 30, 2001",B.weight: 61.70,Group: A,Snatch: 95,CI&Jerk: 125,Total: 220,,62kgMen,Total,440
Rank: 10,ORSOS Richard,HUN,"Born: Feb 07, 2001",B.weight: 60.62,Group: A,Snatch: 95,CI&Jerk: 116,Total: 211,,62kgMen,Total,440
Rank: 11,MADANAMOOTHOO Jack Dorian,MRI,"Born: Apr 19, 2001",B.weight: 61.13,Group: A,Snatch: 92,CI&Jerk: 116,Total: 208,,62kgMen,Total,440
Rank: 12,GAFFNEY Jett Alexander,AUS,"Born: Dec 02, 2002",B.weight: 61.59,Group: A,Snatch: 88,CI&Jerk: 112,Total: 200,,62kgMen,Total,440
Rank: 13,RALPHO Joshua,MHL,"Born: Dec 26, 2001",B.weight: 61.61,Group: A,Snatch: 80,CI&Jerk: 110,Total: 190,,62kgMen,Total,440
Rank: 14,LUTAAYA Hamdan Sserwanga,UGA,"Born: Jan 07, 2002",B.weight: 61.08,Group: A,Snatch: 67,CI&Jerk: 83,Total: 150,,62kgMen,Total,440
Rank: ---,TANGSUT Sittichai,THA,"Born: May 19, 2001",B.weight: 68.33,Group: A,1: 110,2: 116,3: 120,Total: 120,69kgMen,Snatch,440
Rank: ---,CABALA Sebastian,SVK,"Born: Oct 07, 2002",B.weight: 68.51,Group: A,1: -107,2: 107,3: -115,Total: 107,69kgMen,Snatch,440
Rank: ---,MALAKMADZE Archil,GEO,"Born: Apr 30, 2001",B.weight: 68.70,Group: A,1: 130,2: 134,3: -138,Total: 134,69kgMen,Snatch,440
Rank: ---,CANUL FACUNDO Mauricio Cristofer,MEX,"Born: Sep 28, 2001",B.weight: 68.33,Group: A,1: 124,2: -127,3: 127,Total: 127,69kgMen,Snatch,440
Rank: ---,SMITH Jerome Anthony,USA,"Born: Feb 04, 2001",B.weight: 68.91,Group: A,1: 121,2: 125,3: 127,Total: 127,69kgMen,Snatch,440
Rank: ---,OZBEK Muhammed Furkan,TUR,"Born: Jan 24, 2001",B.weight: 68.78,Group: A,1: 132,2: -135,3: 135,Total: 135,69kgMen,Snatch,440
