rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 2,WISNIEWSKI Damian,POL,"Born: Nov 23, 1986",B.weight: 61.70,Group: A,1: -118,2: 118,3: 122,Total: 122,62kgMen,Snatch,53
Rank: 3,PIPA Artiom,MDA,"Born: Jul 19, 1992",B.weight: 61.15,Group: A,1: 114,2: 118,3: 120,Total: 120,62kgMen,Snatch,53
Rank: 4,AVETISYAN Vanik,ARM,"Born: Mar 05, 1987",B.weight: 61.60,Group: A,1: 115,2: 119,3: -123,Total: 119,62kgMen,Snatch,53
Rank: 5,HERNANDEZ MENDOZA Acoran Juan,ESP,"Born: Dec 30, 1990",B.weight: 61.75,Group: A,1: -113,2: -113,3: 113,Total: 113,62kgMen,Snatch,53
Rank: 6,BOSCO Alessandro,ITA,"Born: Oct 06, 1988",B.weight: 61.40,Group: A,1: -110,2: 110,3: -113,Total: 110,62kgMen,Snatch,53
Rank: 7,PETROV Petr,CZE,"Born: Oct 19, 1989",B.weight: 61.55,Group: A,1: -105,2: 105,3: 110,Total: 110,62kgMen,Snatch,53
Rank: 1,WISNIEWSKI Damian,POL,"Born: Nov 23, 1986",B.weight: 61.70,Group: A,1: 145,2: 148,3: 152,Total: 152,62kgMen,CleanJerk,53
Rank: 2,AVETISYAN Vanik,ARM,"Born: Mar 05, 1987",B.weight: 61.60,Group: A,1: 145,2: -151,3: 151,Total: 151,62kgMen,CleanJerk,53
Rank: 3,PIPA Artiom,MDA,"Born: Jul 19, 1992",B.weight: 61.15,Group: A,1: 143,2: 145,3: -148,Total: 145,62kgMen,CleanJerk,53
Rank: 4,SEZER Bunyami,TUR,"Born: Jul 04, 1988",B.weight: 61.20,Group: A,1: 137,2: 140,3: 143,Total: 143,62kgMen,CleanJerk,53
Rank: 5,PETROV Petr,CZE,"Born: Oct 19, 1989",B.weight: 61.55,Group: A,1: -131,2: 131,3: 138,Total: 138,62kgMen,CleanJerk,53
Rank: 6,HERNANDEZ MENDOZA Acoran Juan,ESP,"Born: Dec 30, 1990",B.weight: 61.75,Group: A,1: 130,2: -135,3: 135,Total: 135,62kgMen,CleanJerk,53
Rank: 7,BOSCO Alessandro,ITA,"Born: Oct 06, 1988",B.weight: 61.40,Group: A,1: -130,2: 130,3: -133,Total: 130,62kgMen,CleanJerk,53
Rank: 1,WISNIEWSKI Damian,POL,"Born: Nov 23, 1986",B.weight: 61.70,Group: A,Snatch: 122,CI&Jerk: 152,Total: 274,,62kgMen,Total,53
Rank: 2,SEZER Bunyami,TUR,"Born: Jul 04, 1988",B.weight: 61.20,Group: A,Snatch: 130,CI&Jerk: 143,Total: 273,,62kgMen,Total,53
Rank: 3,AVETISYAN Vanik,ARM,"Born: Mar 05, 1987",B.weight: 61.60,Group: A,Snatch: 119,CI&Jerk: 151,Total: 270,,62kgMen,Total,53
Rank: 4,PIPA Artiom,MDA,"Born: Jul 19, 1992",B.weight: 61.15,Group: A,Snatch: 120,CI&Jerk: 145,Total: 265,,62kgMen,Total,53
Rank: 5,PETROV Petr,CZE,"Born: Oct 19, 1989",B.weight: 61.55,Group: A,Snatch: 110,CI&Jerk: 138,Total: 248,,62kgMen,Total,53
Rank: 6,HERNANDEZ MENDOZA Acoran Juan,ESP,"Born: Dec 30, 1990",B.weight: 61.75,Group: A,Snatch: 113,CI&Jerk: 135,Total: 248,,62kgMen,Total,53
Rank: 7,BOSCO Alessandro,ITA,"Born: Oct 06, 1988",B.weight: 61.40,Group: A,Snatch: 110,CI&Jerk: 130,Total: 240,,62kgMen,Total,53
Rank: 1,BILGIN Erol,TUR,"Born: Feb 20, 1987",B.weight: 68.05,Group: A,1: 135,2: 140,3: 143,Total: 143,69kgMen,Snatch,53
Rank: 2,PETROSYAN Sergey,RUS,"Born: Jun 07, 1988",B.weight: 68.70,Group: A,1: 135,2: 140,3: 143,Total: 143,69kgMen,Snatch,53
Rank: 3,CHEN Oleg,RUS,"Born: Nov 22, 1988",B.weight: 68.75,Group: A,1: -137,2: 137,3: 143,Total: 143,69kgMen,Snatch,53
Rank: 4,KUCZYNSKI Damian Lukasz,POL,"Born: Aug 18, 1986",B.weight: 68.80,Group: A,1: 133,2: -138,3: 138,Total: 138,69kgMen,Snatch,53
Rank: 5,AGILLI Ekrem,TUR,"Born: Aug 20, 1987",B.weight: 68.85,Group: A,1: -136,2: 136,3: -141,Total: 136,69kgMen,Snatch,53
Rank: 6,STOICHITA Paul-Catalin,ROU,"Born: Jan 10, 1989",B.weight: 68.65,Group: A,1: 125,2: 130,3: -133,Total: 130,69kgMen,Snatch,53
Rank: 7,JOACHIM Robert Friedrich,GER,"Born: Jan 13, 1987",B.weight: 68.85,Group: A,1: 124,2: -128,3: 128,Total: 128,69kgMen,Snatch,53
Rank: 8,SEMJONOVS Mihails,LAT,"Born: Jun 05, 1987",B.weight: 68.50,Group: A,1: 120,2: 125,3: -128,Total: 125,69kgMen,Snatch,53
Rank: 9,MORILLAS SANCHEZ Isaac Julian,ESP,"Born: Oct 16, 1988",B.weight: 68.70,Group: A,1: 120,2: 125,3: -130,Total: 125,69kgMen,Snatch,53
Rank: 10,GRECO Emanuele,ITA,"Born: Aug 12, 1987",B.weight: 68.60,Group: A,1: 118,2: 123,3: -125,Total: 123,69kgMen,Snatch,53
Rank: 11,LERCH Zsolt,HUN,"Born: Aug 15, 1990",B.weight: 66.20,Group: A,1: 110,2: 116,3: -119,Total: 116,69kgMen,Snatch,53
Rank: 12,BYRD Cathal,IRL,"Born: Aug 15, 1986",B.weight: 68.90,Group: A,1: -105,2: 105,3: -108,Total: 105,69kgMen,Snatch,53
Rank: 1,PETROSYAN Sergey,RUS,"Born: Jun 07, 1988",B.weight: 68.70,Group: A,1: 165,2: 171,3: 175,Total: 175,69kgMen,CleanJerk,53
Rank: 2,CHEN Oleg,RUS,"Born: Nov 22, 1988",B.weight: 68.75,Group: A,1: 165,2: 170,3: 175,Total: 175,69kgMen,CleanJerk,53
Rank: 3,STOICHITA Paul-Catalin,ROU,"Born: Jan 10, 1989",B.weight: 68.65,Group: A,1: 165,2: -171,3: 171,Total: 171,69kgMen,CleanJerk,53
Rank: 4,KUCZYNSKI Damian Lukasz,POL,"Born: Aug 18, 1986",B.weight: 68.80,Group: A,1: -163,2: 163,3: 171,Total: 171,69kgMen,CleanJerk,53
Rank: 5,BILGIN Erol,TUR,"Born: Feb 20, 1987",B.weight: 68.05,Group: A,1: 165,2: -171,3: -171,Total: 165,69kgMen,CleanJerk,53
Rank: 6,JOACHIM Robert Friedrich,GER,"Born: Jan 13, 1987",B.weight: 68.85,Group: A,1: -160,2: 160,3: -164,Total: 160,69kgMen,CleanJerk,53
Rank: 7,GRECO Emanuele,ITA,"Born: Aug 12, 1987",B.weight: 68.60,Group: A,1: 152,2: -158,3: 158,Total: 158,69kgMen,CleanJerk,53
Rank: 8,SEMJONOVS Mihails,LAT,"Born: Jun 05, 1987",B.weight: 68.50,Group: A,1: 152,2: 157,3: -160,Total: 157,69kgMen,CleanJerk,53
Rank: 9,MORILLAS SANCHEZ Isaac Julian,ESP,"Born: Oct 16, 1988",B.weight: 68.70,Group: A,1: 150,2: -160,3: -160,Total: 150,69kgMen,CleanJerk,53
Rank: 10,AGILLI Ekrem,TUR,"Born: Aug 20, 1987",B.weight: 68.85,Group: A,1: 150,2: -161,3: -161,Total: 150,69kgMen,CleanJerk,53
Rank: 11,LERCH Zsolt,HUN,"Born: Aug 15, 1990",B.weight: 66.20,Group: A,1: 133,2: 140,3: -142,Total: 140,69kgMen,CleanJerk,53
Rank: 12,BYRD Cathal,IRL,"Born: Aug 15, 1986",B.weight: 68.90,Group: A,1: 135,2: 140,3: -142,Total: 140,69kgMen,CleanJerk,53
Rank: 1,PETROSYAN Sergey,RUS,"Born: Jun 07, 1988",B.weight: 68.70,Group: A,Snatch: 143,CI&Jerk: 175,Total: 318,,69kgMen,Total,53
Rank: 2,CHEN Oleg,RUS,"Born: Nov 22, 1988",B.weight: 68.75,Group: A,Snatch: 143,CI&Jerk: 175,Total: 318,,69kgMen,Total,53
Rank: 3,KUCZYNSKI Damian Lukasz,POL,"Born: Aug 18, 1986",B.weight: 68.80,Group: A,Snatch: 138,CI&Jerk: 171,Total: 309,,69kgMen,Total,53
Rank: 4,BILGIN Erol,TUR,"Born: Feb 20, 1987",B.weight: 68.05,Group: A,Snatch: 143,CI&Jerk: 165,Total: 308,,69kgMen,Total,53
Rank: 5,STOICHITA Paul-Catalin,ROU,"Born: Jan 10, 1989",B.weight: 68.65,Group: A,Snatch: 130,CI&Jerk: 171,Total: 301,,69kgMen,Total,53
Rank: 6,JOACHIM Robert Friedrich,GER,"Born: Jan 13, 1987",B.weight: 68.85,Group: A,Snatch: 128,CI&Jerk: 160,Total: 288,,69kgMen,Total,53
Rank: 7,AGILLI Ekrem,TUR,"Born: Aug 20, 1987",B.weight: 68.85,Group: A,Snatch: 136,CI&Jerk: 150,Total: 286,,69kgMen,Total,53
