rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,SOTO ILDEFONSO Juan Carlos,PUR,"Born: Jun 30, 1994",B.weight: 73.52,Group: A,1: 75,2: 85,3: -90,Total: 85,77kgMen,Snatch,61
Rank: ---,SOTO ILDEFONSO Juan Carlos,PUR,"Born: Jun 30, 1994",B.weight: 73.52,Group: A,1: 95,2: 100,3: 105,Total: 105,77kgMen,CleanJerk,61
Rank: 1,SOTO ILDEFONSO Juan Carlos,PUR,"Born: Jun 30, 1994",B.weight: 73.52,Group: A,Snatch: 85,CI&Jerk: 105,Total: 190,,77kgMen,Total,61
Rank: ---,ACOSTA Juan,PUR,"Born: Jan 02, 1994",B.weight: 94.00,Group: A,1: 95,2: -100,3: -100,Total: 95,94kgMen,Snatch,61
Rank: ---,ACOSTA Juan,PUR,"Born: Jan 02, 1994",B.weight: 94.00,Group: A,1: -110,2: 110,3: -115,Total: 110,94kgMen,CleanJerk,61
Rank: 1,ACOSTA Juan,PUR,"Born: Jan 02, 1994",B.weight: 94.00,Group: A,Snatch: 95,CI&Jerk: 110,Total: 205,,94kgMen,Total,61
Rank: ---,GUZMAN PEREZ Gilyeliz Saned,PUR,"Born: Oct 28, 1996",B.weight: 43.98,Group: A,1: 35,2: 40,3: 42,Total: 42,44kgWomen,Snatch,61
Rank: ---,GUZMAN PEREZ Gilyeliz Saned,PUR,"Born: Oct 28, 1996",B.weight: 43.98,Group: A,1: 45,2: 50,3: 55,Total: 55,44kgWomen,CleanJerk,61
Rank: 1,GUZMAN PEREZ Gilyeliz Saned,PUR,"Born: Oct 28, 1996",B.weight: 43.98,Group: A,Snatch: 42,CI&Jerk: 55,Total: 97,,44kgWomen,Total,61
Rank: ---,ORTIZ RIVERA Nelmilyes,PUR,"Born: Mar 19, 1994",B.weight: 46.64,Group: A,1: 42,2: 47,3: -51,Total: 47,48kgWomen,Snatch,61
Rank: ---,ORTIZ RIVERA Nelmilyes,PUR,"Born: Mar 19, 1994",B.weight: 46.64,Group: A,1: 52,2: 57,3: -60,Total: 57,48kgWomen,CleanJerk,61
Rank: 1,ORTIZ RIVERA Nelmilyes,PUR,"Born: Mar 19, 1994",B.weight: 46.64,Group: A,Snatch: 47,CI&Jerk: 57,Total: 104,,48kgWomen,Total,61
Rank: ---,VERONICA Munoz,PUR,"Born: Oct 24, 1995",B.weight: 51.20,Group: A,1: 30,2: -34,3: -34,Total: 30,53kgWomen,Snatch,61
Rank: ---,SYLVIA Lebron Flores,PUR,"Born: Mar 08, 1996",B.weight: 51.76,Group: A,1: 35,2: 38,3: -40,Total: 38,53kgWomen,Snatch,61
Rank: ---,VERONICA Munoz,PUR,"Born: Oct 24, 1995",B.weight: 51.20,Group: A,1: 38,2: 41,3: -43,Total: 41,53kgWomen,CleanJerk,61
Rank: ---,SYLVIA Lebron Flores,PUR,"Born: Mar 08, 1996",B.weight: 51.76,Group: A,1: 45,2: 50,3: 53,Total: 53,53kgWomen,CleanJerk,61
Rank: 1,SYLVIA Lebron Flores,PUR,"Born: Mar 08, 1996",B.weight: 51.76,Group: A,Snatch: 38,CI&Jerk: 53,Total: 91,,53kgWomen,Total,61
Rank: 2,VERONICA Munoz,PUR,"Born: Oct 24, 1995",B.weight: 51.20,Group: A,Snatch: 30,CI&Jerk: 41,Total: 71,,53kgWomen,Total,61
Rank: ---,VELEZ RESTO Ashleym,PUR,"Born: Jun 19, 1994",B.weight: 57.60,Group: A,1: 45,2: 50,3: -52,Total: 50,58kgWomen,Snatch,61
Rank: ---,VELEZ RESTO Ashleym,PUR,"Born: Jun 19, 1994",B.weight: 57.60,Group: A,1: 60,2: 65,3: -70,Total: 65,58kgWomen,CleanJerk,61
Rank: 1,VELEZ RESTO Ashleym,PUR,"Born: Jun 19, 1994",B.weight: 57.60,Group: A,Snatch: 50,CI&Jerk: 65,Total: 115,,58kgWomen,Total,61
Rank: ---,AIDYMAR Ramirez Cintron,PUR,"Born: Nov 23, 1994",B.weight: 62.10,Group: A,1: 55,2: -60,3: -60,Total: 55,63kgWomen,Snatch,61
Rank: ---,AIDYMAR Ramirez Cintron,PUR,"Born: Nov 23, 1994",B.weight: 62.10,Group: A,1: 65,2: 70,3: 75,Total: 75,63kgWomen,CleanJerk,61
Rank: 1,AIDYMAR Ramirez Cintron,PUR,"Born: Nov 23, 1994",B.weight: 62.10,Group: A,Snatch: 55,CI&Jerk: 75,Total: 130,,63kgWomen,Total,61
Rank: ---,PAOLA Vidal,PUR,"Born: Jan 31, 1994",B.weight: 68.00,Group: A,1: 40,2: -45,3: -45,Total: 40,69kgWomen,Snatch,61
Rank: ---,PAOLA Vidal,PUR,"Born: Jan 31, 1994",B.weight: 68.00,Group: A,1: 45,2: -50,3: -50,Total: 45,69kgWomen,CleanJerk,61
Rank: 1,PAOLA Vidal,PUR,"Born: Jan 31, 1994",B.weight: 68.00,Group: A,Snatch: 40,CI&Jerk: 45,Total: 85,,69kgWomen,Total,61
Rank: ---,COLON REYES Julynette,PUR,"Born: Mar 11, 1994",B.weight: 82.78,Group: A,1: -50,2: 50,3: 55,Total: 55,+69kgWomen,Snatch,61
Rank: ---,COLON REYES Julynette,PUR,"Born: Mar 11, 1994",B.weight: 82.78,Group: A,1: 65,2: 70,3: -75,Total: 70,+69kgWomen,CleanJerk,61
Rank: 1,COLON REYES Julynette,PUR,"Born: Mar 11, 1994",B.weight: 82.78,Group: A,Snatch: 55,CI&Jerk: 70,Total: 125,,+69kgWomen,Total,61
