rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 7,RANA Bassel Amjad,AUS,"Born: Aug 19, 1996",B.weight: 53.80,Group: A,Snatch: 56,CI&Jerk: 72,Total: 128,,56kgMen,Total,148
Rank: 8,NORMAN James Sahutta,AUS,"Born: Jun 29, 1996",B.weight: 48.72,Group: A,Snatch: 52,CI&Jerk: 72,Total: 124,,56kgMen,Total,148
Rank: 9,WU Josh,AUS,"Born: Jan 01, 1992",B.weight: 48.92,Group: A,Snatch: 55,CI&Jerk: 68,Total: 123,,56kgMen,Total,148
Rank: 10,ELESIN Boris,AUS,"Born: Sep 02, 1995",B.weight: 50.90,Group: A,Snatch: 53,CI&Jerk: 70,Total: 123,,56kgMen,Total,148
Rank: 11,MOSS Cameron,NZL,"Born: Apr 17, 1997",B.weight: 44.48,Group: A,Snatch: 48,CI&Jerk: 60,Total: 108,,56kgMen,Total,148
Rank: ---,ARFAN Poretoka,INA,"Born: Jan 01, 1995",B.weight: 55.44,Group: A,Snatch: 90,CI&Jerk: ---,Total: ---,,56kgMen,Total,148
Rank: ---,BARU Morea,PNG,"Born: Apr 15, 1990",B.weight: 60.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,62kgMen,Snatch,148
Rank: ---,LAPUA Lapua Tuau,TUV,"Born: Apr 15, 1991",B.weight: 61.40,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 105,62kgMen,Snatch,148
Rank: ---,WALKER Graham,AUS,"Born: Jan 01, 1970",B.weight: 59.18,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 75,62kgMen,Snatch,148
Rank: ---,WAGNER Shane,AUS,"Born: Mar 09, 1996",B.weight: 61.45,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 66,62kgMen,Snatch,148
Rank: ---,BOYD Iravo,PNG,"Born: Jan 01, 1985",B.weight: 60.90,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 65,62kgMen,Snatch,148
Rank: ---,CLARK Scott,AUS,"Born: Jan 01, 1991",B.weight: 60.95,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,62kgMen,Snatch,148
Rank: ---,VILLALON Vester Louie,NZL,"Born: Nov 13, 1991",B.weight: 61.40,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,62kgMen,Snatch,148
Rank: ---,STEPANUS Lakka,INA,"Born: Jan 01, 1992",B.weight: 60.75,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,62kgMen,Snatch,148
Rank: ---,TIKODELAIMATUKU Tui Moce,FIJ,"Born: Dec 14, 1987",B.weight: 61.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,62kgMen,Snatch,148
Rank: ---,HAUMILI Ioane,TUV,"Born: Nov 23, 1988",B.weight: 61.30,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 95,62kgMen,Snatch,148
Rank: ---,ZHONGSHUANG Wu,CHN,"Born: Jan 01, 1991",B.weight: 60.15,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 114,62kgMen,Snatch,148
Rank: ---,BE Vannara,AUS,"Born: Feb 16, 1988",B.weight: 60.95,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 113,62kgMen,Snatch,148
Rank: ---,MINGINFEL Manuel,FSM,"Born: Sep 28, 1978",B.weight: 61.80,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 110,62kgMen,Snatch,148
Rank: ---,BARU Morea,PNG,"Born: Apr 15, 1990",B.weight: 60.65,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 130,62kgMen,CleanJerk,148
Rank: ---,LAPUA Lapua Tuau,TUV,"Born: Apr 15, 1991",B.weight: 61.40,Group: A,1: 0.0,2: 0.0,3: 0.0,Total: 125,62kgMen,CleanJerk,148
